hotel_name,address,packages,link
Koraf Hotels,"4 Koraf Hotel Crescent, Dawaki Hillside Estate, Dawaki-Gilmor, Opposite Gwarinpa, 100108 Abuja, Nigeria","['Restaurant', 'Parking', 'Free Wifi', 'Air conditioning', 'Private Bathroom', 'Balcony', 'Flat-screen TV']",https://www.booking.com/hotel/ng/koraf-hotels-abuja.html?label=gen173nr-1FCAEoggI46AdIM1gEaKcBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuALL18u0BsACAdICJDRjMzQ4Nzk0LTM5NmEtNDI4OS04Mzk2LWQ4ODZkZDNjNTdkZdgCBeACAQ&aid=304142&ucfs=1&arphpl=1&dest_id=-1997013&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&nflt=ht_id%3D204&srpvid=53964db8914614e1&srepoch=1721732700&from_sustainable_property_sr=1&from=searchresults
Wali's Suites,"21 Monrovia Street, 904101 Abuja, Nigeria","['Restaurant', 'Parking', 'Free Wifi', 'Air conditioning', 'Private Bathroom', 'Family rooms', 'Flat-screen TV']",https://www.booking.com/hotel/ng/wali-39-s-suites.html?label=gen173nr-1FCAEoggI46AdIM1gEaKcBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuALL18u0BsACAdICJDRjMzQ4Nzk0LTM5NmEtNDI4OS04Mzk2LWQ4ODZkZDNjNTdkZdgCBeACAQ&aid=304142&ucfs=1&arphpl=1&dest_id=-1997013&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&nflt=ht_id%3D204&srpvid=53964db8914614e1&srepoch=1721732700&from_sustainable_property_sr=1&from=searchresults
De-Convenant Apartment,"Iron Bridge behind Amac market F.H.A Lugbe, Abuja, Nigeria","['Parking', 'Free Wifi', 'Air conditioning', 'Private Bathroom', 'Balcony', 'Flat-screen TV', 'Bathtub']",https://www.booking.com/hotel/ng/de-convenant-apartment.html?label=gen173nr-1FCAEoggI46AdIM1gEaKcBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuALL18u0BsACAdICJDRjMzQ4Nzk0LTM5NmEtNDI4OS04Mzk2LWQ4ODZkZDNjNTdkZdgCBeACAQ&aid=304142&ucfs=1&arphpl=1&dest_id=-1997013&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=111&sr_order=popularity&nflt=ht_id%3D204&srpvid=53964db8914614e1&srepoch=1721732726&from=searchresults
Tranquila Hotels and Suites Abuja,"Plot 1731 Otunba Foluso Ladeinde Off amadu bellow way, 900108 Abuja, Nigeria","['Restaurant', 'Parking', 'Air conditioning', 'Private Bathroom', 'Family rooms', 'Flat-screen TV', 'Room service']",https://www.booking.com/hotel/ng/tranquila-hotels-amp-suite.html?label=gen173nr-1FCAEoggI46AdIM1gEaKcBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuALL18u0BsACAdICJDRjMzQ4Nzk0LTM5NmEtNDI4OS04Mzk2LWQ4ODZkZDNjNTdkZdgCBeACAQ&aid=304142&ucfs=1&arphpl=1&dest_id=-1997013&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=37&sr_order=popularity&nflt=ht_id%3D204&srpvid=53964db8914614e1&srepoch=1721732625&from=searchresults
Candellux Imperial Hotel and Suites Abuja,"No 5, Sir Anebo Okekenta Street, Area 1, Abuja, 900104 Abuja, Nigeria","['Parking', 'Free Wifi', 'Air conditioning', 'Private Bathroom', 'Flat-screen TV', 'Bathtub', 'Room service']",https://www.booking.com/hotel/ng/candellux-imperial-and-suites-abuja-abuja.html?label=gen173nr-1FCAEoggI46AdIM1gEaKcBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuALL18u0BsACAdICJDRjMzQ4Nzk0LTM5NmEtNDI4OS04Mzk2LWQ4ODZkZDNjNTdkZdgCBeACAQ&aid=304142&ucfs=1&arphpl=1&dest_id=-1997013&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=39&sr_order=popularity&nflt=ht_id%3D204&srpvid=53964db8914614e1&srepoch=1721732625&from=searchresults
Marigold Hotel,"15, Marigold Street, Lokogoma Abuja, 900107 Abuja, Nigeria","['Restaurant', 'Parking', 'Air conditioning', 'Private Bathroom', 'Balcony', 'Flat-screen TV', 'Room service']",https://www.booking.com/hotel/ng/marigold.html?label=gen173nr-1FCAEoggI46AdIM1gEaKcBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuALL18u0BsACAdICJDRjMzQ4Nzk0LTM5NmEtNDI4OS04Mzk2LWQ4ODZkZDNjNTdkZdgCBeACAQ&aid=304142&ucfs=1&arphpl=1&dest_id=-1997013&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=70&sr_order=popularity&nflt=ht_id%3D204&srpvid=53964db8914614e1&srepoch=1721732685&from=searchresults
MayFair Hotel Maitama Abuja,"2 Danube Street 2 Danube street, Off Ibb Way, Maitama. Abuja, 900001 Abuja, Nigeria","['Restaurant', 'Parking', 'Free Wifi', 'Air conditioning', 'Private Bathroom', 'Balcony', 'Family rooms']",https://www.booking.com/hotel/ng/mayfair-abuja.html?label=gen173nr-1FCAEoggI46AdIM1gEaKcBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuALL18u0BsACAdICJDRjMzQ4Nzk0LTM5NmEtNDI4OS04Mzk2LWQ4ODZkZDNjNTdkZdgCBeACAQ&aid=304142&ucfs=1&arphpl=1&dest_id=-1997013&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&nflt=ht_id%3D204&srpvid=53964db8914614e1&srepoch=1721732700&from=searchresults
UrbaN RootZ,"4a Volta Street 1, 900271 Abuja, Nigeria","['Parking', 'Free Wifi', 'Air conditioning', 'Private Bathroom', 'Balcony', 'Family rooms', 'Flat-screen TV']",https://www.booking.com/hotel/ng/urban-rootz-abuja2.html?label=gen173nr-1FCAEoggI46AdIM1gEaKcBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuALL18u0BsACAdICJDRjMzQ4Nzk0LTM5NmEtNDI4OS04Mzk2LWQ4ODZkZDNjNTdkZdgCBeACAQ&aid=304142&ucfs=1&arphpl=1&dest_id=-1997013&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=36&sr_order=popularity&nflt=ht_id%3D204&srpvid=53964db8914614e1&srepoch=1721732625&from=searchresults
Western Dreams Hotel,"Plot 387 Idris Ibrahim Crescent, Jabi, 900108 Abuja, Nigeria","['Restaurant', 'Parking', 'Free Wifi', 'Air conditioning', 'Private Bathroom', 'Family rooms', 'Flat-screen TV']",https://www.booking.com/hotel/ng/western-dreams.html?label=gen173nr-1FCAEoggI46AdIM1gEaKcBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuALL18u0BsACAdICJDRjMzQ4Nzk0LTM5NmEtNDI4OS04Mzk2LWQ4ODZkZDNjNTdkZdgCBeACAQ&aid=304142&ucfs=1&arphpl=1&dest_id=-1997013&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=113&sr_order=popularity&nflt=ht_id%3D204&srpvid=53964db8914614e1&srepoch=1721732726&from=searchresults
Abuja Getaways,"House E6, Besab Homes, 900104 Abuja, Nigeria","['Parking', 'Free Wifi', 'Family rooms', 'Room service', 'Pet friendly', 'Airport shuttle (free)', 'Free parking']",https://www.booking.com/hotel/ng/abuja-getaways.html?label=gen173nr-1FCAEoggI46AdIM1gEaKcBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuALL18u0BsACAdICJDRjMzQ4Nzk0LTM5NmEtNDI4OS04Mzk2LWQ4ODZkZDNjNTdkZdgCBeACAQ&aid=304142&ucfs=1&arphpl=1&dest_id=-1997013&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=21&sr_order=popularity&nflt=ht_id%3D204&srpvid=53964db8914614e1&srepoch=1721732753&from=searchresults
"E-Gold Luxury Hotel, Maitama","2 Sankuru Close, 904101 Abuja, Nigeria","['Restaurant', 'Parking', 'Free Wifi', 'Air conditioning', 'Private Bathroom', 'Balcony', 'Family rooms']",https://www.booking.com/hotel/ng/e-gold-luxury.html?label=gen173nr-1FCAEoggI46AdIM1gEaKcBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuALL18u0BsACAdICJDRjMzQ4Nzk0LTM5NmEtNDI4OS04Mzk2LWQ4ODZkZDNjNTdkZdgCBeACAQ&aid=304142&ucfs=1&arphpl=1&dest_id=-1997013&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&nflt=ht_id%3D204&srpvid=53964db8914614e1&srepoch=1721732700&from_sustainable_property_sr=1&from=searchresults
